1540450841.432895000	75	dc:20:08:3a:eb:e8	4c:09:d4:c6:12:7b	192.168.2.111	192.168.2.1			60494	53									
1540450841.473288000	70	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	192.168.2.1			43269	53									
1540450841.631673000	75	50:c7:bf:1c:9c:c6	4c:09:d4:c6:12:7b	192.168.2.122	192.168.2.1			38987	53									
1540450841.771075000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450841.771618000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450841.904184000	73	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	192.168.2.1			35130	53									
1540450841.907452000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450841.910740000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450841.923755000	73	00:ec:04:56:93:03	4c:09:d4:c6:12:7b	192.168.2.126	192.168.2.1			3126	53									
1540450841.923833000	83	3c:33:00:98:ee:fd	4c:09:d4:c6:12:7b	192.168.2.110	192.168.2.1			41003	53									
1540450841.928682000	80	50:c7:bf:1c:9c:a6	4c:09:d4:c6:12:7b	192.168.2.121	192.168.2.1			46366	53									
1540450841.932177000	76	48:02:2e:01:83:15	4c:09:d4:c6:12:7b	192.168.2.109	8.8.8.8			43795	53									
1540450841.932674000	104	4c:09:d4:c6:12:7b	48:02:2e:01:83:15	192.168.2.1	192.168.2.109			43795	53	3	0							
1540450841.970690000	429	00:16:6c:7f:82:20	01:00:5e:7f:ff:fa	192.168.2.115	239.255.255.250			1215	1900									
1540450841.972058000	469	00:16:6c:7f:82:20	01:00:5e:7f:ff:fa	192.168.2.115	239.255.255.250			1215	1900									
1540450841.975099000	471	00:16:6c:7f:82:20	01:00:5e:7f:ff:fa	192.168.2.115	239.255.255.250			1215	1900									
1540450842.138488000	60	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b									1	00:16:6c:7f:82:20	192.168.2.115	00:00:00:00:00:00	192.168.2.1		
1540450842.138613000	84	00:16:6c:7f:82:20	4c:09:d4:c6:12:7b	192.168.2.115	192.168.2.1			1536	53									
1540450842.138783000	60	4c:09:d4:c6:12:7b	00:16:6c:7f:82:20									2	4c:09:d4:c6:12:7b	192.168.2.1	00:16:6c:7f:82:20	192.168.2.115		
1540450842.172608000	60	48:02:2e:01:83:15	ff:ff:ff:ff:ff:ff									1	48:02:2e:01:83:15	192.168.2.109	00:00:00:00:00:00	192.168.2.106		
1540450842.217158000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	210.61.248.232	36011	80											
1540450842.217673000	102	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113	36011	80			3	0							
1540450842.227710000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	42.99.254.162	59603	80											
1540450842.227815000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	203.69.81.91	56492	80											
1540450842.227817000	74	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	61.220.62.219	44861	80											
1540450842.399647000	60	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd									1	40:8d:5c:4b:99:1d	192.168.2.101	3c:33:00:98:ee:fd	192.168.2.110		
1540450842.402235000	60	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d									2	3c:33:00:98:ee:fd	192.168.2.110	40:8d:5c:4b:99:1d	192.168.2.101		
1540450842.408985000	74	e0:b9:4d:08:71:23	4c:09:d4:c6:12:7b	192.168.2.112	50.19.254.134	55313	443											
1540450842.409491000	102	4c:09:d4:c6:12:7b	e0:b9:4d:08:71:23	192.168.2.1	192.168.2.112	55313	443			3	0							
1540450842.409733000	74	e0:b9:4d:08:71:23	4c:09:d4:c6:12:7b	192.168.2.112	46.137.188.54	50867	80											
1540450842.410180000	102	4c:09:d4:c6:12:7b	e0:b9:4d:08:71:23	192.168.2.1	192.168.2.112	50867	80			3	0							
1540450842.742296000	60	00:14:1c:28:d6:06	01:80:c2:00:00:00															
1540450842.832140000	98	34:c3:d2:e0:fc:c9	4c:09:d4:c6:12:7b	192.168.2.113	192.168.2.1					8	0							
1540450842.832664000	98	4c:09:d4:c6:12:7b	34:c3:d2:e0:fc:c9	192.168.2.1	192.168.2.113					0	0							
1540450842.876336000	78	48:02:2e:01:83:15	4c:09:d4:c6:12:7b	192.168.2.109	8.8.8.8			37079	53									
1540450842.876844000	106	4c:09:d4:c6:12:7b	48:02:2e:01:83:15	192.168.2.1	192.168.2.109			37079	53	3	0							
1540450842.914224000	74	40:8d:5c:4b:99:1d	3c:33:00:98:ee:fd	192.168.2.101	192.168.2.110					8	0							
1540450842.916060000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:1d	192.168.2.110	192.168.2.101					0	0							
1540450842.916172000	74	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450842.917926000	74	3c:33:00:98:ee:fd	40:8d:5c:4b:99:14	192.168.2.110	192.168.2.107	23	57206											
1540450842.918233000	66	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
1540450842.918375000	93	40:8d:5c:4b:99:14	3c:33:00:98:ee:fd	192.168.2.107	192.168.2.110	57206	23											
